Competition,Year,Startup,Funding Post-Competition,Source of Funding,Source,Other Resources/Stories,Researcher,Dead or Alive,Notes,Keywords,,,,,
ACC Clean Energy Challenge,2014,501Carbon,"10,000",Duke Startup Challenge,,Started enmass energy,Fred ,,javascript:alert(document.lastModified),,,,,,
Clean Energy Trust,2013,A2B Bikeshare,"$25,000.00",Michigan Capital Fund,,,Fred ,Alive,"site:pcornet.org intitle:""patient council""",,,,,,
,,,"$250,000.00",Seed round,http://newenterpriseforum.org/ShowcasePresenters,,Fred ,,"site:afthon.com intitle:""company""",,,,,,
,,,"$15,000.00",MCEVC,,,Fred ,,,,,,,,
,,,"$14,000.00",Lansing bike contract,http://www.wilx.com/home/headlines/Lansings-Bike-Share-Program-is-Over--289509071,,Fred ,,,,,,,,
Caltech First Look West,2013,Achene Bio,,,,,Fred ,Dead,Lack of pages,,,,,,
Caltech First Look West,2012,Adaption Energy,,,,,Fred ,Dead,,,,,,,
Caltech First Look West,2015,Adnoviv,,,,XLR8UH accelerator,Fred ,,,,,,,,
Clean Energy Trust,2013,Advanced Farms,,,,,Fred ,,,,,,,,
ACC Clean Energy Challenge,2013,Advanced Heliostats,,,,,Fred ,,,,,,,,
"CU Boulder Clean Energy Competition
 Clean Energy Trust 2015",2014,Advanced Renewable Technology International (ARTi),,,,,Fred ,,,,,,,,
Rice Business Plan Competition,2015,Advano,"$75,000.00",Grants,https://www.facebook.com/advanotech/timeline?ref=page_internal,,Fred ,Not Sure,,,,,,,
,,,"30,000",Seed funding,https://angel.co/advano,,Fred ,,,,,,,,
MIT Clean Energy Prize,2013,Aeolus Building Efficiency,"$20,000.00",MIT Clean Energy Efficiency Prize,http://www.bu.edu/today/2013/bu-team-takes-a-first-at-mit-clean-energy-competition/,Mass Challenge Accelerator,Fred ,,,,,,,,
,,,"225,000",SBIR,https://www.sbir.gov/sbirsearch/detail/403617,,Fred ,,,,,,,,
Clean Energy Trust,2013,Aerosol Control Technologies,"$50,000.00",Arch Grant Award,http://archgrants.org/startup/aerosol-control-technologies/,,Fred ,,,,,,,,
"Rice Business Plan Competition 2014, MIT Clean Energy Prize 2015",2014,Afthon (fmr Detonation Dynamics),"$25,000.00",Venturewell E-team grant,http://afthon.com/company/,"Kairos 50, Inc.com 50 emerging global entrepreneurs to watch, Stu Clark Investment Logo Competition 2nd place, http://t.co/9KAbqrKgOg",Fred ,,,,,,,,
MIT Clean Energy Prize,2013,Agira Photonics,,,,"Cleantech Open Accelerator, Future Energy pitch 3rd place",Fred ,,,,,,,,
Clean Energy Trust,2013,Agogy,,,,,Fred ,,,,,,,,
CU Boulder Clean Energy Competition,2014,Agribotix,"$1,350,000.00",Series A,Awardee Reporting,"Agribotix-Latin America joint venture, Partnered with AgCo and 3DROBOTICS, Colorado Cleantech Industry Association Top Honors, Featured in PRNewswire and on NPR",Fred ,fb post recent,,,,,,,
,,,"$250,000.00",Colorado Advanced Industry Grant,http://www.techrockies.com/agribotix-gets-k-for-farm-drones/s-0060256.html,,Fred ,,,,,,,,
,,,"$2,500.00",Cleantech Track CU New Venture Challenge,http://agribotix.com/blog/2014/3/13/agribotix-wins-the-cleantech-track-of-the-university-of-colorado-new-venture-challenge,,Fred ,,,,,,,,
Rice Business Plan Competition,2015,Airzz,,,,,Fred ,,,,,,,,
Rice Business Plan Competition,2013,Akiba Cooking Solutions (Akiba Energy Solutions),$600.00,Rice BPC shark tank round,http://seismos.com/2013-rice-business-plan-competition-awards-1-5-million-and-crowns-world-champion/,,Fred ,,,,,,,,
,,,"$5,000.00",National Collegiate Inventors and Innovators Alliance,https://www.linkedin.com/in/faith-jezza-00978222,,Fred ,,,,,,,,
ACC Clean Energy Challenge,2012,AMat,,,,,Fred ,"has stock, wiki page",,,,,,,
Clean Energy Trust,2012,Amplified Wind Solutions,"$1,100,000",DOE EERE Program Funds,Awardee Reporting,,Fred ,posts are all very old,,,,,,,
,,,"$40,600.00",State Funds,Awardee Reporting,,Fred ,,,,,,,,
,,,"$10,000.00",Oio Clean Energy Challenge,,,Fred ,,,,,,,,
,,,"$25,000.00",Innovation Fund A-Grant,https://www.linkedin.com/in/nikizmij,,Fred ,,,,,,,,
,,,"$20,000",Breaking Barriers in Cleantech Award,,,Fred ,,,,,,,,
"Clean Energy Trust
 Rice Business Plan Competition 2015",2014,AMPY (fmr MyPower),"$875,000",Venture funding,http://www.chicagobusiness.com/article/20151022/BLOGS11/151029944/ampy-raises-875-000-in-venture-funding,,Fred ,sellable product,,,,,,,
"Clean Energy Trust
 Rice Business Plan Competition 2015",2014,AMPY (fmr myPower),"$309,000.00",Kickstarter,Awardee Reporting,"Tech. Co Judge's Pick, 30 under 30",Fred ,,,,,,,,
,,,"$75,000.00",Clean Energy Trust Consumer Fav.,,,Fred ,,,,,,,,
,,,"$20,000.00",Northwestern Venture Challenge,http://www.technewsworld.com/story/81269.html,,Fred ,,,,,,,,
,,,"200,000",Clean Energy Challenge Emerging Growth,,,Fred ,,,,,,,,
MIT Clean Energy Prize,2015,Applied Particle Technology,"223,865",NSF STTR,http://www.nsf.gov/awardsearch/showAward?AWD_ID=1549666&HistoricalAwards=false,Cleantech Open Midwest accelerator - Breakthrough Technology Award,Fred ,"has recent funding news articles, but that's it",,,,,,,
,,,"$50,000.00",Global Impact Award,https://fuse.wustl.edu/applied-particle-technology-wins-50000-global-impact-award/,,Fred ,,,,,,,,
,,,"$50,000.00",Arch Grant Award,http://news.stlpublicradio.org/post/arch-grants-summer-2015-class-announced,,Fred ,,,,,,,,
,,,$650.00,B2BC BPC,https://gradpages.wustl.edu/bec/articles/3954,,Fred ,,,,,,,,
,,,"$50,000.00",Olin Cup 2nd Place,"https://engineering.wustl.edu/news/Pages/Applied-Particle-Technology-wins-$50,000-Arch-Grant.aspx",,Fred ,,,,,,,,
Clean Energy Trust,2013,Aqua Power Enterprise,,,,,Fred ,has stocks,,,,,,,
MIT Clean Energy Prize,2015,AquaFresco,"$3,000.00",MIT Water Innovation Prize,http://www.mitwaterinnovation.com/so/7KoJyDXR#/main,"MADMEC 1st Prize, 3rd place MIT $3,000",Fred ,"recent funding, so alive?",,,,,,,
,,,"50,000",MassChallenge,http://bostinno.streetwise.co/2015/10/28/masschallenge-winners-2015-16-startups-win-1-5m/,,Fred ,,,,,,,,
Clean Energy Trust,2013,Northern Aquaponics,"$10,000.00",New Venture Competition,https://blogs.mtu.edu/business/2013/03/29/tech-students-win-20500-at-new-venture-competition/,,Fred ,old fb posts,,,,,,,
,,,$75,Fundraising,,,Fred ,,,,,,,,
Clean Energy Trust,2012,Arbor Solar Technologies,"6,518",Other Competitions,Awardee Reporting,,Fred ,old fb posts,,,,,,,
,,,"5,000",MCEVC,,,Fred ,,,,,,,,
Clean Energy Trust,2012,Arborlight,,,,,Fred ,mid 2015 fb post...,,,,,,,
Clean Energy Trust,2014,Archer Technologies,,,,,Fred ,,,,,,,,
Clean Energy Trust,2013,Atlas Energy Systems,"$10,000.00",State Clean Energy Challenge,https://www.linkedin.com/in/joshuadauger,,Fred ,,,,,,,,
,,,"$20,000.00",Elevate Seed Fund,http://www.purdue.edu/newsroom/releases/2015/Q1/elevate-purdue-foundry-fund-announces-inaugural-funding-awards-for-indiana-startups.html,,Fred ,,,,,,,,
,,,"$10,000.00",Burton D. Morgan BPC,http://www.purdue.edu/newsroom/releases/2014/Q4/purdue-students-commercialize-device-that-could-convert-nuclear-waste-into-electricity.html,,Fred ,,,,,,,,
Clean Energy Trust,2012,ATS Motors,,,,,Fred ,,,,,,,,
Caltech First Look West,2013,Aurora Solar,"$400,000",Sunshot Incubator,http://energy.gov/eere/sunshot/project-profile-aurora-solar-inc-incubator-10,,Fred ,,,,,,,,
Clean Energy Trust,2013,AutoPilot,,,,,Fred ,,,,,,,,
Caltech First Look West,2015,Axiom Exergy,"$1,000,000.00",Undisclosed seed round of approx $1 million,Awardee Reporting,"1st Place Arpa-e pitching session, Venture Capitalist's Choice award 2014 Cleantech Open",Fred ,,,,,,,,
,,,"600,000",Private investors,,,Fred ,,,,,,,,
MIT Clean Energy Prize,2015,Ayar Labs (fmr OptiBit),"$200,000.00",Eversource Clean Energy Prize,http://news.mit.edu/2015/optical-chips-clean-energy-prize-0513,CITRIS Foundry incubator program,Fred ,,,,,,,,
,,,"$5,000.00",CITRIS,,,Fred ,,,,,,,,
Rice Business Plan Competition,2014,Batterade,,,,,Fred ,,,,,,,,
"Clean Energy Trust
 Rice Business Plan Competition 2014",2013,DATTUS (fmr Bearing Analytics),"$100,000.00",Founder.org,Awardee Reporting,"Incubators: Cleantech Open, Founder.org, Purdue Foundry;",Fred ,,,,,,,,
,,,"$550,000.00",VC Series A,Awardee Reporting,,Fred ,,,,,,,,
,,,"$115,000.00",Angel/Seed Funds,Awardee Reporting,,Fred ,,,,,,,,
,,,"$4,250.00",Rice BPC,,,Fred ,,,,,,,,
,,,"$30,000.00",Burton D. Morgan BPC,"http://www.purdue.edu/newsroom/releases/2014/Q1/bearing-analytics,-exdie-cleaning-technologies-claim-purdues-27th-annual-burton-morgan-business-plan-competition.html",,Fred ,,,,,,,,
,,,"$10,000.00",Indiana Clean Energy Challenge,https://www.linkedin.com/in/anuragpurdue,,Fred ,,,,,,,,
,,,"$1,750.00",Venture Labs Investment Competiton,https://www.linkedin.com/in/anuragpurdue,,Fred ,,,,,,,,
,,,"$605,000.00",Indiana Economic Development Corp. tax credits,http://www.in.gov/activecalendar/EventList.aspx?view=EventDetails&eventidn=217899&information_id=213431&type=&rss=rss,,Fred ,,,,,,,,
