Startup,Institution,Funds,Alive?,URLs,Competitions,Founders
Broad Peak Energy Solutions,,$0.00,,[],['MIT Clean Energy Prize']
BoxFeeds,,$0.00,,[],['Caltech First Look West']
DaStrong Corp (fmr EcoBreeze),,"$822,500.00",,"['http://alliance.rice.edu/rbpc2014_winners_pressrelease/', 'http://www.43north.org/dastrong-corp', 'http://www.dastrong.com/index.php?c=list&cs=news']",['Clean Energy Trust']
Roadwise Technologies,,"$2,000.00",,[],['Caltech First Look West']
ReeBeez,,"$15,000.00",,['https://www.marshall.usc.edu/faculty/centers/cgi'],['Caltech First Look West']
Muir Data Systems (fmr Blue Dot Analytics,,$0.00,,[],['Caltech First Look West']
Temporary Energy,,$0.00,,[],['Caltech First Look West']
"Oklo, Inc (fmr Upower)",,"$206,000.00",,"['http://web.mit.edu/nse/news/2013/nse-teams-sweep-pitch-competition.html', 'http://news.mit.edu/2013/clean-energy-prize-awards-0507', 'http://web.mit.edu/nse/news/2014/dewitte-forbes-30under30.html']",['MIT Clean Energy Prize']
NanoFoundry,,"$180,000.00",,['http://jacobsschool.ucsd.edu/news/news_releases/release.sfe?id=1407'],['Caltech First Look West']
AMat,,$0.00,,[],['ACC Clean Energy Challenge']
FGC Plasma Solutions,,"$50,000.00",,['http://energy.gov/eere/articles/national-clean-energy-business-plan-competition-fgc-plasma-solutions-wins-2015'],['Clean Energy Trust']
SignTurbine,,$0.00,,[],['MIT Clean Energy Prize']
Electroluminescent Products,,$0.00,,[],['Clean Energy Trust']
Spero Energy,,"$1,280,000.00",,"['http://techportal.eere.energy.gov/news?id=21445', 'http://purdueresearchpark.com/news/alternative-energy-firm-receives-nearly-150000-funding-us-department-energy', 'http://purdueresearchpark.com/news/spero-energy-receives-1-million-funding-department-energy', 'http://www.purdue.edu/newsroom/releases/2014/Q4/purdue-research-park-based-renewable-chemicals-startup-receives-50,000-grant-from-elevate-ventures.html', 'http://www.speroenergy.com/news']",['Clean Energy Trust']
Stanford Nitrogen Group,,"$391,000.00",,[],['Caltech First Look West Competition  Rice Business Plan Competition 2012']
Rebound Technologies,,"$2,518,000.00",,"['http://rebound-tech.com/nsf-sbir-phase-2', 'http://rebound-tech.com/doe-sbir-phase-1', 'http://rebound-tech.com/news/nsf-sbir-phase-1', 'http://rebound-tech.com/news/energy-excelerator-acceptance', 'https://www.crunchbase.com/organization/rebound-technology-llc#/entity', 'http://cunvc.org/about/2012-winners/']",['CU Boulder Clean Energy Competition']
Smartility,,$0.00,,[],['Clean Energy Trust']
Mimas Nanosystems (fmr Bagpipe Technologies),,"$101,500.00",,['https://www.wm.com/about/press-room/pdfs/Rice_TG_Award.pdf'],"['Rice Business Plan Competition, Clean Energy Trust']"
Trash 2 Cash-Energy,,"$25,000.00",,"['http://us-cleantech.com/usf-startup-selected-for-nciias-e-team-program/, https://www.facebook.com/Trash2CashEnergy/']",['ACC Clean Energy Challenge']
Pico Spray,,"$1,133,000.00",,"['http://www.secondwavemedia.com/concentrate/innovationnews/PicoSprayannarbor0264.aspx', 'http://acceleratemichigan.org/ann-arbor-startups-score-big-wins-at-accelerate-michigan/', 'https://www.crunchbase.com/organization/picospray#/entity', 'http://www.michipreneur.com/5-startups-receive-3-million-from-michigan-pre-seed-fund-and-partners/']",['Clean Energy Trust']
MANTA,,"$682,274.00",,['http://www.mantabiofuel.com/'],['ACC Clean Energy Challenge']
Airzz,,$0.00,,[],['Rice Business Plan Competition']
MuPor Technologies,,$600.00,,[],['Rice Business Plan Competition']
Advanced Heliostats,,$0.00,,[],['ACC Clean Energy Challenge']
