Startup,Institution(Founded in),Funds,Alive?,URLs,Founders,Web Last Updated Time From Now,Field,Contact,Prize,Year,Additional comment,
501Carbon,Duke University,"$10,000.00",Yes,501carbon.org/,Andrew Scott Joiner,< 3 months,"Environmental Strategy, Non-profit",info@501Carbon.org,ACC Clean Energy Challenge,2014,,
BioAdhesive Alliance,,"$575,500.00",Yes,http://www.baa-usa.com/,,Unsure,"Green, low cost, and durable construction adhesive",http://www.baa-usa.com/apps/contactme/sites/show,ACC Clean Energy Challenge,2013,,
MF Fire (frm Mulciber Stoves),University of Maryland,"$126,000.00",Yes,http://mffire.com/,Taylor Myers,< 3 months,Environmentally-friendly stove,https://twitter.com/_MFFire,ACC Clean Energy Challenge,2014,,
Aurora Solar,Stanford University,"$400,000.00",Yes,http://www.aurorasolar.com/,Samuel Dele Adeyemo,< 1 month,Software for solar engineering workflow management,hello@aurorasolar.com,Caltech First Look West,2013,,
Axiom Exergy,Stanford University,"$1,600,000.00",Yes,http://www.axiomexergy.com/,Amrit Robbins,< 1 month,Energy storage,510-764-3142,Caltech First Look West,2015,,
Building Robotics,UC Berkeley,"$6,640,000.00",Yes,http://buildingrobotics.com/,Andrew Krioukov,< 6 months,Software,info@buildingrobotics.com,Caltech First Look West,2012,,
Chai Energy,CalTech,"$1,315,000.00",Yes,https://chaienergy.com/,Cole Hershkowitz,< 1 month,Energy Management Software,844.487.2424,Caltech First Look West,2013,,
CinderBio,UC Berkeley,"$150,000.00",Yes,http://cinderbio.com/,Steve Yannone,< 6 months,Biological Enzyme,info@cinderbio.com,Caltech First Look West,2014,,
eChemion (frm EnergIndependence),Oregon State University,"$245,000.00",Yes,http://www.echemion.com/,BILL KESSELRING,< 6 months,Battery,info@echemion.com,Caltech First Look West,2012,,
Envirohaven,,"$35,000.00",Yes,http://www.envirohaven.com/,Clint Borchard,< 1 month,Construction,775-324-2836,Caltech First Look West,2012,,
GrollTEX,UCSD,"$26,000.00",Yes,http://www.grolltex.co/,Aliaksandr Zaretski,< 1 year,Material Science,http://www.grolltex.co/contact.html,Caltech First Look West,2014,,
Lyxia,UCLA,"$30,000,000.00",Yes,http://www.lyxia.com/,Wei Yu,,Biotechnology - Biofuel,info@lyxia.com,Caltech First Look West,2013,Also has office in China,30+ mil
Muir Data Systems (fmr Blue Dot Analytics,Stanford University,#N/A,Yes,http://muirdata.com/,James Parle,< 3 months,Wind Power,info@muirdata.com,Caltech First Look West,2013,,
NanoFoundry,Virginia Commonwealth University,#N/A,Yes,http://www.nanofoundry.us/,Everett Carpenter,< 3 months,Nanotechnology,(804) 360-2701,Caltech First Look West,2013,,
polySpectra,CalTech,"$4,458,500.00",Yes,http://www.cyclotronroad.org/polyspectra/,"Coleman Rainey, Aditya Balasubramanian, Corinne Allen, and Raymond Weitekamp",< 1 month,Material Science,raweitekamp@lbl.gov,Caltech First Look West,2013,,
Pyro-E,UCLA,"$1,250,000.00",Yes,http://www.pyro-e.com/,Kevin S. Lu,< 6 months,Recycling,info@pyro-e.com,Caltech First Look West,2014,,
ReeBeez,,#N/A,Yes,http://www.reebeez.com/,,< 6 months,Drone,http://www.reebeez.com/contact-us.html,Caltech First Look West,2015,,
REEcycle,University of Houston,"$207,500.00",Yes,http://www.reecycleinc.com/,Casey McNeil,< 1 year,Recycling,info@reecycleinc.com,Caltech First Look West,2014,,
CalWave (fmr Caltech Laboratory for Energy and Water),UC Berkeley,"$531,372.00",Yes,http://calwave.org/,Marcus Lehmann,< 3 months,Wave energy,,"Caltech First Look West, 
 MIT Clean Energy Prize 2015, 
 Rice Business Plan Competition 2015",2014,,
Opus 12 (fmr Obtainium),Stanford University,"$510,000.00",Yes,http://www.cyclotronroad.org/opus12/,"Kendra Kuhl, Nicholas Flanders, and Etosha Cave",< 1 month,CO2 Treatment,kpkuhl@lbl.gov,"Caltech First Look West, Rice Business Plan Competition",2015,,
A2B Bikeshare,"University of Michigan, Ann Arbor","$304,000.00",Yes,http://www.a2bbikeshare.com/,Ansgar Strother,< 6 months,"Bike sharing, Software",contact@a2bbikeshare.com,Clean Energy Trust,2013,,
Amplified Wind Solutions,Cleveland State University,"$1,195,600.00",Yes,https://www.jumpstartinc.org/company/amplified-wind-solutions/,Niki Zmij,,Wind Amplification System,,Clean Energy Trust,2012,,
Arbor Solar Technologies,"University of Michigan, Ann Arbor","$11,518.00",Yes,None,Ashwin Betrabet,,Hybrid Solar Lighting system,,Clean Energy Trust,2012,,
Arborlight,"University of Michigan, Ann Arbor","$100,000,000.00",Yes,http://www.arborlight.com/,Michael Forbis,< 6 months,LED technology,info@arborlight.com,Clean Energy Trust,2012,,100mil
Atlas Energy Systems,Purdue University,"$40,000.00",Yes,None,Ian Hamilton,,Novel energy collection methods from nuclear materials.,,Clean Energy Trust,2013,,
Black Pine Engineering,Michigan State University,"$10,000.00",Yes,http://www.blackpineengineering.com/,Zack Hoyle,< 3 months,Compression,989-600-9502,Clean Energy Trust,2014,,
Carbon Origins,Case Western Reserve University,"$10,000.00",Yes,http://www.carbonorigins.com/,Amogha Srirangarajan,< 2 years,Space Techonlogies,,Clean Energy Trust,2014,,
Convolutus,Purdue University,"$10,000.00",Yes,None,Mert Efe,,Innovative metal manufacturing technology,,Clean Energy Trust,2012,Working directly with Simens,
CrystalE,Case Western Reserve University,$0.00,Yes,http://www.crystalesensors.com/,Jonathan Colon,< 1 week,Hassle-free sensor solution,http://www.crystalesensors.com/,Clean Energy Trust,2015,None of the team members has the company on their linkedIn profile,
DaStrong Corp (fmr EcoBreeze),Rice University,#N/A,Yes,http://www.dastrong.com/,Hayden Ren,< 3 months,Electronic cooling,haydenren@dastrong.com,Clean Energy Trust,2013,,
DF Tech,,"$321,000.00",Yes,http://www.dftech.com/,,,Business Management Software,info@dftech.com,Clean Energy Trust,2012,"Not An startup, founded in 1993",
Imagine Labs,,"$10,000.00",Yes,http://imaginelabs.com/,,< 3 month,Company Management Software,,Clean Energy Trust,2014,,
NuMat Technologies,Northwestern University,"$8,859,300.00",Yes,http://numat-tech.com/,Benjamin Hernandez,< 1 month,Material Science,info@numat-tech.com,Clean Energy Trust,2012,,
